,Unnamed: 0,address,description,sqft,lot_size,bedrooms,bathrooms,half_baths,sale_price,yr_built,town_Archie,town_Belton,town_Cleveland,town_Creighton,town_Drexel,town_East Lynne,town_Freeman,town_Garden City,town_Greenwood,town_Harrisonville,town_Kingsville,town_Lake Winnebago,town_Lees Summit,town_Loch Lloyd,town_Peculiar,town_Pleasant Hill,town_Raymore,town_Strasburg
1068,1068,"809 N Arnold AvenueHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,336SqftBuilt in1991Single Family",1336,0.2,3,2,0,175000,1991,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1069,1069,"710 N Patton StreetHarrisonville, MO 64701","4Bedrms3Full Bath(s)0Half Bath(s)2,158SqftBuilt in1992Single Family",2158,0.35,4,3,0,175000,1992,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1070,1070,"1703 E State Route 2Cleveland, MO 64734",1Bedrms1Full Bath(s)0Half Bath(s)900SqftBuilt in19993.8AcresSingle Family,900,3.78,1,1,0,175000,1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071,1071,"601 Seaton BoulevardRaymore, MO 64083","3Bedrms2Full Bath(s)1Half Bath(s)1,489SqftBuilt in1998Single Family",1489,0.2,3,2,1,175000,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1072,1072,"305 Brookridge DriveHarrisonville, MO 64701","3Bedrms2Full Bath(s)1Half Bath(s)1,754SqftBuilt in1979Single Family",1754,0.25,3,2,1,175000,1979,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1073,1073,"212 S Darrowby DriveRaymore, MO 64083","3Bedrms2Full Bath(s)0Half Bath(s)1,300SqftBuilt in2001Single Family",1300,0.2,3,2,0,175000,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1074,1074,"508 Birch StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,534SqftBuilt in1996Single Family",1534,0.25,3,2,0,175150,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1075,1075,"512 Miller DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,467SqftBuilt in1990Single Family",1467,0.2,3,2,0,175500,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,1076,"114 Brent RoadBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)2,316SqftBuilt in1982Single Family",2316,0.35,3,2,0,175500,1982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078,1078,"203 N Highland DriveRaymore, MO 64083","4Bedrms2Full Bath(s)1Half Bath(s)2,096SqftBuilt in1996Single Family",2096,0.35,4,2,1,175500,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1079,1079,"307 Berry AvenueBelton, MO 64012","3Bedrms2Full Bath(s)1Half Bath(s)2,240SqftBuilt in1968Single Family",2240,0.35,3,2,1,176000,1968,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,1080,"516 S Wilson StreetArchie, MO 64725","3Bedrms2Full Bath(s)0Half Bath(s)1,662SqftBuilt in20110.35AcresSingle Family",1662,0.35,3,2,0,176000,2011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081,1081,"1607 Stacy RoadHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,102SqftBuilt in2018Single Family",1102,0.2,3,2,0,176900,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1082,1082,"833 Bristol DriveRaymore, MO 64083","2Bedrms1Full Bath(s)1Half Bath(s)1,795SqftBuilt in2002Single Family",1795,0.25,2,1,1,177000,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1083,1083,"15507 Terry AvenueBelton, MO 64012","4Bedrms2Full Bath(s)1Half Bath(s)1,778SqftBuilt in19900.33AcresSingle Family",1778,0.33,4,2,1,177500,1990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,1084,"905 Jonathan CourtBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,140SqftBuilt in1996Single Family",1140,0.2,3,2,0,178000,1996,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085,1085,"706 Cedar StreetPleasant Hill, MO 64080","4Bedrms3Full Bath(s)0Half Bath(s)2,072SqftBuilt in1900Single Family",2072,0.35,4,3,0,178000,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1086,1086,"504 Sunset LaneBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,894SqftBuilt in1972Single Family",1894,0.25,3,2,0,178350,1972,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1087,1087,"522 S Madison StreetRaymore, MO 64083","3Bedrms1Full Bath(s)1Half Bath(s)1,224SqftBuilt in19630.45AcresSingle Family",1224,0.45,3,1,1,178500,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
